id,name,job,hidden_job,head_img,body_img,eco_status,soc_status,freedom,emotion,tags,safety,org_id,rank,relations_json,desc,power_type,org_role,social_level,wealth_level,influence_level,personality_json,initial_dilemma_json
int,str,enum,str,str,str,enum,enum,enum,enum,list,enum,str,int,json,str,str,str,int,int,int,json,json
编号,姓名,当前职业,潜能职业,头图,身图,经济,地位,自由,心情,标签,安全,组织ID,职级,关系数据,描述,势力类型,组织角色,社会等级,财富等级,影响力等级,性格数据,初始困境数据
1000,方承意,OFFICIAL,NONE,head_01.png,body_01.png,RICH,NOBLE,FULL,NORMAL,POWERFUL;RICH;NOBLE;CUNNING,NORMAL,kaifeng_fu,5,"{""BODYGUARD"": 1002, ""SUBORDINATE"": 1001}",明昭侯，开封府尹，心思深沉，权倾朝野。,士,LEADER,5,5,5,"{""temper"": ""温和"", ""spirit"": ""勇敢"", ""ism"": ""现实"", ""act_style"": ""缜密"", ""friendship"": ""不重情义"", ""ambition"": 85, ""desire_type"": ""权力"", ""desire"": ""贪心""}","{""title"": ""朝堂暗涌"", ""surface"": ""朝中老臣对方承意年轻上位心存不满，暗中散布谣言质疑他的能力"", ""core_conflict"": ""欲望：巩固权力地位 vs 现实：资历尚浅，需要更多政绩"", ""desire"": ""让朝中大臣心服口服，稳固自己的地位"", ""block"": ""老臣们暗中阻挠，需要一场大案来证明能力，但赵师爷等老臣阳奉阴违""}"
1001,无情,OFFICIAL,NONE,head_01.png,body_01.png,ENOUGH,NOBLE,FULL,NORMAL,SMART;CALM;DETECTIVE;DISABLED,NORMAL,shenhou_fu,5,"{""SUPERIOR"": 1000}",神侯府四大名捕之首，双腿残疾但轻功暗器一绝。,士,LEADER,4,3,4,"{""temper"": ""温和"", ""spirit"": ""勇敢"", ""ism"": ""现实"", ""act_style"": ""缜密"", ""friendship"": ""重情义"", ""ambition"": 60, ""desire_type"": ""名誉"", ""desire"": ""一般""}","{""title"": ""轮椅上的枷锁"", ""surface"": ""作为神侯府名捕，无情需要追捕一名潜逃的朝廷要犯，但地形复杂，轮椅难以通行"", ""core_conflict"": ""欲望：证明自己依然是最强的捕快 vs 现实：双腿残疾带来的行动限制"", ""desire"": ""不因残疾而被轻视，维护神侯府的威名"", ""block"": ""身体的局限与自尊心的冲突，以及下属暗中保护带来的屈辱感""}"
1002,林冲,GUARD,NONE,head_01.png,body_01.png,COMMON,HIGH,FULL,NORMAL,HERO;JUSTICE;LOYAL;WARRIOR,NORMAL,kaifeng_fu,3,"{""LEADER"": 1000, ""FRIEND"": 1013}",八十万禁军教头，武艺高强，护卫方承意。,兵,BODYGUARD,3,2,2,"{""temper"": ""暴躁"", ""spirit"": ""勇敢"", ""ism"": ""理想"", ""act_style"": ""豪放"", ""friendship"": ""重情义"", ""ambition"": 40, ""desire_type"": ""安定"", ""desire"": ""一般""}","{""title"": ""忠义的枷锁"", ""surface"": ""林冲发现方承意暗中打压政敌，手段并不光明磊落"", ""core_conflict"": ""欲望：保持忠君爱国的理想 vs 现实：效忠的主公并非完美君子"", ""desire"": ""既不想背叛主公，又不想违背内心的正义"", ""block"": ""方承意对他有知遇之恩，但某些命令让他良心不安""}"
1003,高衙内,FARMER,NONE,head_01.png,body_01.png,RICH,NOBLE,FULL,NORMAL,VILLAIN;LUSTFUL;RICH;ARROGANT,NORMAL,gao_manor,5,"{""BODYGUARD"": 1004}",高太尉养子，拥有大量田产，仗势欺人。,农,LEADER,4,4,3,"{""temper"": ""暴躁"", ""spirit"": ""胆小"", ""ism"": ""现实"", ""act_style"": ""豪放"", ""friendship"": ""不重情义"", ""ambition"": 70, ""desire_type"": ""美色"", ""desire"": ""贪心""}","{""title"": ""养子的阴影"", ""surface"": ""高府的远房亲戚们开始觊觎家产，高衙内担心自己的地位不保"", ""core_conflict"": ""欲望：保住高府的产业和自己的地位 vs 现实：只是养子，血缘上不占优势"", ""desire"": ""证明自己的能力，让高府上下认可自己"", ""block"": ""府中上下都认为他只是靠养父庇护的纨绔，没有真本事，连高大胜都暗中看不起他""}"
1004,高大胜,GUARD,NONE,head_01.png,body_01.png,COMMON,COMMON,FULL,NORMAL,FILIAL;STRONG;CONFLICTED,NORMAL,gao_manor,2,"{""LEADER"": 1003}",高府金牌打手，为给母亲治病而卖身高府。,兵,BODYGUARD,2,2,1,"{""temper"": ""温和"", ""spirit"": ""勇敢"", ""ism"": ""现实"", ""act_style"": ""豪放"", ""friendship"": ""重情义"", ""ambition"": 35, ""desire_type"": ""亲情"", ""desire"": ""一般""}","{""title"": ""孝与义的抉择"", ""surface"": ""高衙内命令高大胜去教训一个欠租的穷苦佃农"", ""core_conflict"": ""欲望：孝顺母亲，需要这份工作的收入买药 vs 现实：本性善良，不愿欺负弱小"", ""desire"": ""攒够钱给母亲治好病，然后离开高府"", ""block"": ""母亲的病需要持续用药，他无法承担失去工作的后果""}"
1005,张青,FARMER,NONE,head_01.png,body_01.png,POOR,LOW,FULL,NORMAL,HENPECKED;HONEST;HARDWORKING,NORMAL,shizizhipo,2,"{""WIFE"": 1007}",菜园子张青，在十字坡种菜，怕老婆。,农,MEMBER,1,1,1,"{""temper"": ""温和"", ""spirit"": ""胆小"", ""ism"": ""现实"", ""act_style"": ""缜密"", ""friendship"": ""重情义"", ""ambition"": 20, ""desire_type"": ""安定"", ""desire"": ""一般""}","{""title"": ""菜园子的烦恼"", ""surface"": ""孙二娘又逼张青去城里收保护费，但他只想安心种菜"", ""core_conflict"": ""欲望：过平静的田园生活 vs 现实：妻子是江湖人，不甘平凡"", ""desire"": ""种出最好的蔬菜，过上安稳日子"", ""block"": ""妻子孙二娘性格强势，总是拉他卷入江湖纷争""}"
1006,郁芊芊,MERCHANT,NONE,head_02.png,body_02.png,RICH,HIGH,FULL,NORMAL,RICH;ARROGANT;SMART;BUSINESS_GENIUS,NORMAL,tianshui_alley,4,"{""SUBORDINATE"": 1009}",甜水巷商会会长，富家大小姐，经商天赋极高。,商,LEADER,3,5,2,"{""temper"": ""暴躁"", ""spirit"": ""勇敢"", ""ism"": ""现实"", ""act_style"": ""豪放"", ""friendship"": ""不重情义"", ""ambition"": 75, ""desire_type"": ""财富"", ""desire"": ""贪心""}","{""title"": ""千金的重担"", ""surface"": ""郁家最大的商业伙伴突然撤资，甜水巷商会面临资金链断裂的危机"", ""core_conflict"": ""欲望：证明自己的能力，不靠家族也能成功 vs 现实：商会危机需要家族势力才能解决"", ""desire"": ""独立解决危机，让父亲刮目相看"", ""block"": ""父亲要求她放弃商会管理权，嫁给另一个富商之子换取资金支持""}"
1007,孙二娘,MERCHANT,NONE,head_02.png,body_02.png,COMMON,COMMON,FULL,NORMAL,TOUGH;COOK_DARK;INFORMATION_BROKER,NORMAL,shizizhipo,3,"{""HUSBAND"": 1005}",十字坡老板娘，擅长黑暗料理和收集情报。,商,LEADER,2,2,2,"{""temper"": ""暴躁"", ""spirit"": ""勇敢"", ""ism"": ""现实"", ""act_style"": ""豪放"", ""friendship"": ""重情义"", ""ambition"": 55, ""desire_type"": ""财富"", ""desire"": ""贪心""}","{""title"": ""十字坡的野心"", ""surface"": ""孙二娘想将十字坡客栈扩张为江湖情报中心，但张青只想安心种菜"", ""core_conflict"": ""欲望：在江湖上闯出一番事业 vs 现实：丈夫是个老实人，不愿卷入江湖纷争"", ""desire"": ""让十字坡成为汴京最大的消息集散地"", ""block"": ""丈夫张青的反对，以及缺乏启动资金和人脉""}"
