id,type,value,price,hunger_rec,burn_time,warm_val,atk_bonus,def_bonus,desc
铜钱,CURRENCY,1,1,,,,,,大宋通宝，唯一流通货币。
浆果,FOOD,2,2,5,,,,,酸甜可口。
谷物,FOOD,4,5,30,,,,,颗粒饱满的粮食，可裹腹。
小麦,FOOD,3,3,5,,,,,农作物，可磨面。
稻米,FOOD,4,6,8,,,,,南方运来的精米。
烤果,FOOD,5,4,15,,,,,熟食。
肉包子,FOOD,8,10,30,,,,,馅料来源十分可疑。
生鱼,FOOD,5,5,8,,,,,刚捕上来的活鱼，新鲜但腥气重。
烤鱼,FOOD,12,8,25,,,,,香喷喷的烤鱼，美味又管饱。
生肉,FOOD,6,6,5,,,,,新鲜的肉，需要烹饪。
烤肉,FOOD,15,10,35,,,,,滋滋冒油的烤肉。
馒头,FOOD,4,4,20,,,,,炊饼，劳动人民的主食。
米饭,FOOD,6,5,25,,,,,热腾腾的白米饭。
面条,FOOD,8,8,28,,,,,热气腾腾的汤面。
清水,DRINK,1,1,2,,,,,清凉解渴。
茶水,DRINK,5,5,3,,,,,提神醒脑的茶汤。
浊酒,DRINK,8,6,5,,,,,村醪浊酒，易醉。
好酒,DRINK,25,20,8,,,,,清澈香醇的美酒。
药酒,DRINK,40,40,10,,,,,滋补药酒，活血化瘀。
木材,MATERIAL,3,3,,60,,,,建材。
石料,MATERIAL,3,3,,,,,,建材。
泥土,MATERIAL,1,1,,,,,,土壤。
木板,MATERIAL,5,5,,80,,,,加工木材。
木棍,MATERIAL,2,2,,30,,,,树枝。
铁料,MATERIAL,6,6,,,,,,锻造武器和护甲的原料。
砖瓦,MATERIAL,4,12,,,,,,烧制的砖块和瓦片。
绳索,MATERIAL,3,5,,,,,,麻绳，捆绑用。
公文,DOCUMENT,0,0,,,,,,官府的文书。
火把,DEPLOYABLE,10,5,,,50,,,照明。
陷阱,DEPLOYABLE,15,20,,,,,,捕猎用的铁夹子。
字画,COMMODITY,15,20,,,,,,名家真迹，或是赝品。
书籍,COMMODITY,12,25,,,,,,经史子集，科举必备。
琴谱,COMMODITY,20,35,,,,,,古琴曲谱，文人雅趣。
护身符,COMMODITY,10,15,,,,,,大相国寺开光，保平安。
香烛,COMMODITY,5,8,,,,,,祭祀祈福用。
经文,COMMODITY,8,15,,,,,,佛经道藏。
精制器物,COMMODITY,20,25,,,,,,百工坊出品的精良器具。
丝绸,COMMODITY,30,20,,,,,,苏杭上等丝绸。
瓷器,COMMODITY,25,50,,,,,,汝窑青瓷，价值不菲。
玉器,COMMODITY,50,35,,,,,,和田美玉雕琢而成。
首饰,COMMODITY,35,40,,,,,,金银珠宝制成的饰品。
草药,COMMODITY,8,8,,,,,,山野采集的药草。
丹药,COMMODITY,30,45,,,,,,炼丹炉中炼制的丹丸。
伤药,COMMODITY,15,25,,,,,,金疮药，外敷止血。
骰子,COMMODITY,5,5,,,,,,赌坊常见，六面骨牌。
当票,DOCUMENT,0,0,,,,,,当铺凭证，可赎回典当物。
路引,DOCUMENT,10,10,,,,,,官府核发的通行凭证。
密信,DOCUMENT,0,50,,,,,,不知内容的密封书信。
情报,COMMODITY,20,15,,,,,,有价值的消息。
马匹,COMMODITY,200,200,,,,,,代步骑乘的良驹。
皮革,COMMODITY,10,8,,,,,,鞣制好的皮料。
羊毛,COMMODITY,6,6,,,,,,柔软保暖。
木棒,WEAPON,5,5,,,,,2,粗壮木棍，攻击+2。
菜刀,WEAPON,15,12,,,,,3,厨房用刀，攻击+3。
朴刀,WEAPON,40,40,,,,,5,民间常见刀具，攻击+5。
铁剑,WEAPON,60,60,,,,,8,锋利的铁制长剑，攻击+8。
长枪,WEAPON,55,50,,,,,7,一寸长一寸强，攻击+7。
大刀,WEAPON,70,70,,,,,10,青龙偃月刀式，攻击+10。
弓箭,WEAPON,50,35,,,,,6,远程武器，攻击+6。
飞镖,WEAPON,25,15,,,,,4,暗器，攻击+4。
皮甲,ARMOR,50,50,,,,,6,轻便皮甲，防御+6。
锁子甲,ARMOR,120,80,,,,,12,精制锁甲，防御+12。
鳞甲,ARMOR,150,100,,,,,15,鱼鳞铁甲，防御+15。
护臂,ARMOR,20,20,,,,,3,皮质护臂，防御+3。
铁盔,ARMOR,35,30,,,,,4,保护头部，防御+4。
粗布衣,CLOTHING,5,15,,,,10,1,粗麻布衣，稍微抵御风寒，防御+1。
棉袄,CLOTHING,20,25,,,,25,2,厚实棉衣，御寒效果极佳，防御+2。
丝衣,CLOTHING,40,50,,,,15,1,丝绸长衫，轻盈华贵。
官服,CLOTHING,80,80,,,,20,2,官吏朝服，身份象征。
僧袍,CLOTHING,15,20,,,,15,1,出家人穿着。
斗篷,CLOTHING,25,30,,,,30,1,遮风挡雨的披风。
牢房钥匙,KEY,0,0,,,,,,打开牢房的铁钥匙。
库房钥匙,KEY,0,0,,,,,,打开仓库的钥匙。
城门令牌,KEY,50,50,,,,,,可自由进出城门。
