id,building_type,zone,pos_x,pos_y,owner_type,owner_id,is_home,inventory,scenario
str,str,str,int,int,str,str,int,str,str
建筑ID,建筑类型,位置区域,X坐标,Y坐标,所有者类型,所有者ID,是住所,初始库存,场景
B_GOV_MAIN,GOV_OFFICE,CITY_GRID:4,2289,2100,ORG,kaifeng_fu;shenhou_fu;gao_manor,0,,SANDBOX
B_MARKET_MAIN,MARKET,CITY_GRID:3,1636,2100,ORG,tianshui_alley,0,谷物:10;棉袄:5;铜钱:100,SANDBOX
B_MARKET_SE,MARKET,CITY:SE,3053,2824,,,0,谷物:5;铜钱:50,SANDBOX
B_MARKET_N,MARKET,CITY:N,2370,1325,,,0,铜钱:30,SANDBOX
B_CLINIC,CLINIC,CITY_GRID:5,2942,2100,,,0,,SANDBOX
B_WORKSHOP,WORKSHOP,CITY_GRID:8,2902,2720,,,0,,SANDBOX
B_SCHOOL,SCHOOL,CITY_GRID:0,1636,1480,ORG,taixue,0,,SANDBOX
B_TEMPLE,TEMPLE,CITY_GRID:2,2942,1480,ORG,daxiangguo,0,,SANDBOX
B_TEAHOUSE,TEAHOUSE,CITY:N,2190,1325,,,0,,SANDBOX
B_TAVERN,TAVERN,CITY:S,2390,2875,,,0,,SANDBOX
B_HOME_1000,GATEHOUSE,CITY,2527,1455,NPC,1000,1,,SANDBOX
B_HOME_1001,GATEHOUSE,CITY,2242,1824,NPC,1001,1,,SANDBOX
B_HOME_1002,BARRACKS,CITY,2925,1925,NPC,1002,1,,SANDBOX
B_HOME_1003,HOUSE,CITY,1383,1731,NPC,1003,1,,SANDBOX
B_HOME_1004,HOUSE,CITY,1422,2799,NPC,1004,1,,SANDBOX
B_HOME_1005,INN,CITY,1860,2373,NPC,1005,1,,SANDBOX
B_HOME_1006,HOUSE,CITY,3121,2029,NPC,1006,1,,SANDBOX
B_HOME_1007,INN,CITY,2380,2442,NPC,1007,1,,SANDBOX
B_HOME_1008,HOUSE,CITY,1717,2582,NPC,1008,1,,SANDBOX
B_HOME_1009,HOUSE,CITY,2741,2683,NPC,1009,1,,SANDBOX
B_HOME_1010,HOUSE,CITY,3115,1382,NPC,1010,1,,SANDBOX
B_HOME_1011,LIBRARY,CITY,2533,2463,NPC,1011,1,,SANDBOX
B_HOME_1012,LIBRARY,CITY,1917,2830,NPC,1012,1,,SANDBOX
B_HOME_1013,TEMPLE,CITY,2962,1234,NPC,1013,1,,SANDBOX
B_HOME_1014,TEMPLE,CITY,2709,2905,NPC,1014,1,,SANDBOX
B_HOME_1015,TEMPLE,CITY,2639,2070,NPC,1015,1,,SANDBOX
B_HOME_1016,HOUSE,SLUM,3281,3892,NPC,1016,1,,SANDBOX
B_HOME_1017,HUNTING,WILD,416,3744,NPC,1017,1,,SANDBOX
B_HOME_1018,HOUSE,CITY,1648,1307,NPC,1018,1,,SANDBOX
B_HOME_1019,BARRACKS,CITY,1690,2409,NPC,1019,1,,SANDBOX
B_HOME_1020,HOUSE,CITY,3103,1587,NPC,1020,1,,SANDBOX
B_HOME_1021,HOUSE,CITY,2138,1153,NPC,1021,1,,SANDBOX
B_HOME_1022,HOUSE,CITY,2406,1829,NPC,1022,1,,SANDBOX
B_HOME_1023,BANDIT_LAIR,WILD,2093,4098,NPC,1023,1,,SANDBOX
B_HOME_1024,BANDIT_LAIR,WILD,113,180,NPC,1024,1,,SANDBOX
B_HOME_1025,BANDIT_LAIR,WILD,4592,4010,NPC,1025,1,,SANDBOX
B_HOME_1026,BANDIT_LAIR,WILD,4897,1748,NPC,1026,1,,SANDBOX
B_HOME_1027,BANDIT_LAIR,WILD,592,3740,NPC,1027,1,,SANDBOX
B_HOME_1028,BANDIT_LAIR,WILD,4851,286,NPC,1028,1,,SANDBOX
B_HOME_1029,BANDIT_LAIR,WILD,1339,291,NPC,1029,1,,SANDBOX
B_HOME_1030,BANDIT_LAIR,WILD,280,236,NPC,1030,1,,SANDBOX
B_HOME_1031,BANDIT_LAIR,WILD,4736,1827,NPC,1031,1,,SANDBOX
B_HOME_1032,BANDIT_LAIR,WILD,2829,216,NPC,1032,1,,SANDBOX
B_SHIZIZHIPO,INN,CITY,1785,1884,ORG,shizizhipo,0,,SANDBOX
B_FARM_W1,FARM,FARM:W,1010,1950,,,0,,SANDBOX
B_FARM_W2,FARM,FARM:W,1010,2250,,,0,,SANDBOX
B_FARM_N1,FARM,FARM:N,2090,870,,,0,,SANDBOX
B_FARM_N2,FARM,FARM:N,2490,870,,,0,,SANDBOX
B_FARM_S1,FARM,FARM:S,2090,3330,,,0,,SANDBOX
B_FARM_S2,FARM,FARM:S,2490,3330,,,0,,SANDBOX
B_FARM_NW,FARM,FARM:NW,790,850,,,0,,SANDBOX
B_FARM_SW,FARM,FARM:SW,790,3350,,,0,,SANDBOX
B_EAST_FISH_1,FISHPOND,GATE:EAST,3778,1680,,,0,,SANDBOX
B_EAST_FISH_2,FISHPOND,GATE:EAST,3781,2325,,,0,,SANDBOX
B_EAST_FISH_3,FISHPOND,GATE:EAST,3869,2047,,,0,,SANDBOX
B_EAST_BUSH_1,BUSH,GATE:EAST,3625,1709,,,0,,SANDBOX
B_EAST_BUSH_2,BUSH,GATE:EAST,3933,1858,,,0,,SANDBOX
B_EAST_BUSH_3,BUSH,GATE:EAST,3821,2546,,,0,,SANDBOX
B_EAST_BUSH_4,BUSH,GATE:EAST,3788,2717,,,0,,SANDBOX
B_EAST_TREE_1,TREE,GATE:EAST,4056,2031,,,0,,SANDBOX
B_EAST_TREE_2,TREE,GATE:EAST,4028,2277,,,0,,SANDBOX
B_EAST_TREE_3,TREE,GATE:EAST,3700,1945,,,0,,SANDBOX
B_WEST_TREE_1,TREE,GATE:WEST,1029,1763,,,0,,SANDBOX
B_WEST_TREE_2,TREE,GATE:WEST,1160,2073,,,0,,SANDBOX
B_WEST_TREE_3,TREE,GATE:WEST,1163,2250,,,0,,SANDBOX
B_WEST_TREE_4,TREE,GATE:WEST,1096,2434,,,0,,SANDBOX
B_WEST_TREE_5,TREE,GATE:WEST,848,2010,,,0,,SANDBOX
B_WEST_TREE_6,TREE,GATE:WEST,849,2211,,,0,,SANDBOX
B_WEST_BUSH_1,BUSH,GATE:WEST,1053,2611,,,0,,SANDBOX
B_WEST_BUSH_2,BUSH,GATE:WEST,866,1753,,,0,,SANDBOX
B_WEST_BUSH_3,BUSH,GATE:WEST,694,2291,,,0,,SANDBOX
B_NORTH_BUSH_1,BUSH,GATE:NORTH,1927,888,,,0,,SANDBOX
