id,title,desc_template,type,tag_main,tag_target,intro_dialog_id,btn_a,eff_a,req_a,chain_a,dialog_a_id,btn_b,eff_b,req_b,chain_b,dialog_b_id,btn_c,eff_c,req_c,chain_c,dialog_c_id,weight
int,str,str,enum,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,int
ID,标题,描述,类型,主角标签,配角标签,开场对话,选项A,效果A,需求A,连锁A,对话A,选项B,效果B,需求B,连锁B,对话B,选项C,效果C,需求C,连锁C,对话C,权重
601,收保护费,地痞流氓围住了 {A} 的摊位，扬言不交钱就砸摊子。,CHOICE,MERCHANT,ANY,E601_INTRO,替他交钱(破财),PLAYER:Money:-100;SELF:emotion:DEPRESSED;PLAYER:Fame:20,MONEY:100,,E601_A,关门放打手(需打手),PLAYER:Fame:150;SELF:emotion:HAPPY;SELF:money:50,FOLLOWER:THUG,,E601_B,亲自武力驱逐(需恶名),PLAYER:Fame:100;PLAYER:AddTag:THUG,FAME:-100,,E601_C,20
602,官府查账,税务官突然造访 {A} 的店铺，吹毛求疵意图索贿。,CHOICE,MERCHANT,ANY,E602_INTRO,帮忙塞红包(贿赂),PLAYER:Money:-200;SELF:safety:NORMAL,MONEY:200,,E602_A,让文人辩法(需文人),PLAYER:Fame:150;SELF:eco_status:RICH;PLAYER:AddTag:JUSTICE,FOLLOWER:SCHOLAR,,E602_B,袖手旁观(无视),SELF:money:-300;SELF:emotion:ANGRY,,,,20
603,农田虫害,农夫 {A} 看着满地蝗虫欲哭无泪，今年的收成要完了。,CHOICE,FARMER,ANY,资助买药(善举),PLAYER:Money:-50;SELF:inventory:GRAIN:5,MONEY:50,,科学除虫(需科学家),PLAYER:Fame:200;SELF:inventory:GRAIN:15;SELF:emotion:HAPPY,FOLLOWER:SCIENTIST,,烧香祈福(迷信),PLAYER:Fame:-10;SELF:emotion:NORMAL,,,20
604,恶霸欺市,{A} 在市场被恶霸欺负，敢怒不敢言。,CHOICE,MERCHANT,ANY,花钱摆平,PLAYER:Money:-100;SELF:safety:NORMAL,MONEY:100,,路见不平(需打手),PLAYER:Fame:150;SELF:money:20;SELF:emotion:HAPPY,FOLLOWER:THUG,,大声呵斥(需名望),PLAYER:Fame:50;SELF:emotion:NORMAL,FAME:500,,15
101,交子贬值,{A} 持旧交子去钱庄兑换被拒，急得要跳河。钱庄老板 {B} 看热闹不嫌事大。,CHOICE,POOR,MERCHANT,E101_INTRO,原价兑换(破财),PLAYER:Money:-200;PLAYER:Fame:100;SELF:emotion:GRATEFUL;SELF:affinity:PLAYER:50,MONEY:200,,E101_A,低价收割(趁人之危),PLAYER:Money:300;PLAYER:Fame:-150;PLAYER:AddTag:PROFITEER;SELF:emotion:DESPAIR;SELF:affinity:PLAYER:-50,,,E101_B,怒斥钱庄(得罪富商),PLAYER:Fame:80;PLAYER:AddTag:JUSTICE;SELF:emotion:HAPPY;OTHER:affinity:PLAYER:-80;OTHER:tags:ENEMY,,,E101_C,10
102,汴京买房梦,书生 {A} 每日打三份工只为买房，如今积劳成疾，命悬一线。他跪求你借他最后一笔钱凑齐首付。,CHOICE,POOR,ANY,E102_INTRO,借他钱(成全执念),PLAYER:Money:-800;SELF:emotion:HAPPY;SELF:hp:50;PLAYER:Fame:100,MONEY:800,,E102_A,劝他放弃(残忍真相),PLAYER:Fame:-50;SELF:emotion:DESPAIR;SELF:tags:LAY_FLAT;SELF:affinity:PLAYER:-30,,,E102_B,送他去医(先活下来),PLAYER:Money:-300;PLAYER:Fame:50;SELF:hp:80;SELF:tags:INDEBTED;SELF:emotion:SAD,MONEY:300,,E102_C,10
103,甜水巷内卷,新来的舞姬 {A} 才艺出众价格低廉，老牌花魁 {B} 准备联合行会将她逐出。两人都向你求助。,CHOICE,DANCER,DANCER,E103_INTRO,保护新人(得罪行会),PLAYER:Money:-150;PLAYER:Fame:80;PLAYER:AddTag:FAIR;SELF:affinity:PLAYER:60;SELF:safety:NORMAL;OTHER:affinity:PLAYER:-80;OTHER:tags:ENEMY,MONEY:150,,E103_A,支持老人(帮凶),PLAYER:Money:200;PLAYER:Fame:-100;PLAYER:AddTag:BULLY;SELF:safety:EXILE;SELF:emotion:DESPAIR;OTHER:affinity:PLAYER:50;OTHER:eco_status:RICH,,,E103_B,撮合合作(各退一步),PLAYER:Fame:50;SELF:affinity:PLAYER:20;SELF:eco_status:ENOUGH;OTHER:affinity:PLAYER:20;OTHER:eco_status:ENOUGH,,,E103_C,10
104,瓦舍裁员,老琴师 {A} 被瓦舍无故辞退且不给遣散费。他是三十年的老员工，如今老无所依。瓦舍老板是你的债主 {B}。,CHOICE,MUSICIAN,MERCHANT,E104_INTRO,出资聘请(收留),PLAYER:Money:-400;PLAYER:Fame:150;SELF:is_follower:True;SELF:emotion:GRATEFUL;OTHER:affinity:PLAYER:-20,MONEY:400,,E104_A,替老板说话(讨好债主),PLAYER:Fame:-100;SELF:emotion:DESPAIR;SELF:eco_status:POOR;OTHER:affinity:PLAYER:30,,,E104_B,仗义执言(得罪债主),PLAYER:Fame:200;PLAYER:AddTag:JUSTICE;SELF:money:100;SELF:emotion:HAPPY;OTHER:affinity:PLAYER:-60,,,E104_C,8
105,高利贷陷阱,妇人 {A} 借驴打滚买首饰，如今利滚利，债主要卖她女儿抵债。债主 {B} 是本地恶霸。,CHOICE,POOR,THUG,E105_INTRO,代为还债(散财),PLAYER:Money:-600;PLAYER:Fame:200;SELF:safety:NORMAL;SELF:emotion:GRATEFUL;SELF:affinity:PLAYER:80,MONEY:600,,E105_A,买下女儿(获得奴仆),PLAYER:Money:-200;PLAYER:Fame:-50;SELF:emotion:DESPAIR;SELF:family:BROKEN,MONEY:200,,E105_B,暴力抗债(结仇恶霸),PLAYER:Fame:100;PLAYER:AddTag:JUSTICE;SELF:safety:NORMAL;OTHER:affinity:PLAYER:-100;OTHER:tags:ENEMY;PLAYER:safety:DANGER,FOLLOWER:THUG,,E105_C,10
106,学徒剥削,"铁匠铺师傅以""学艺""为由，三年不给学徒 {A} 分文。师傅 {B} 是你的老熟人。",CHOICE,POOR,CRAFTSMAN,E106_INTRO,为学徒出头(得罪熟人),PLAYER:Fame:150;PLAYER:AddTag:JUSTICE;SELF:emotion:HAPPY;SELF:affinity:PLAYER:60;OTHER:affinity:PLAYER:-80,,,E106_A,支持师傅(传统规矩),PLAYER:Fame:-80;SELF:emotion:DEPRESSED;SELF:tags:SLAVE_MIND;OTHER:affinity:PLAYER:30,,,E106_B,挖墙脚(带走学徒),PLAYER:Money:-100;SELF:is_follower:True;SELF:affinity:PLAYER:40;OTHER:affinity:PLAYER:-100;OTHER:tags:ENEMY,MONEY:100,,E106_C,8
107,虚假宣传,郎中 {A} 的假药害死了寡妇的儿子。寡妇 {B} 当街跪求你主持公道。{A} 曾救过你的命。,CHOICE,DOCTOR,POOR,E107_INTRO,包庇郎中(还人情),PLAYER:Fame:-200;PLAYER:AddTag:ACCOMPLICE;SELF:affinity:PLAYER:50;OTHER:emotion:DESPAIR;OTHER:affinity:PLAYER:-100,,,E107_A,揭发郎中(恩将仇报),PLAYER:Fame:200;PLAYER:AddTag:JUSTICE;SELF:freedom:PRISON;SELF:affinity:PLAYER:-100;OTHER:emotion:HAPPY,,,E107_B,私了赔偿(和稀泥),PLAYER:Money:-300;PLAYER:Fame:50;SELF:affinity:PLAYER:-30;SELF:eco_status:POOR;OTHER:emotion:SAD,MONEY:300,,E107_C,8
