dialog_id,speaker,text,action
str,str,str,str
对话组ID,说话人,文本内容,动作指令
E601_INTRO,NARRATOR,繁华的街市上，突然传来一阵骚动。,
E601_INTRO,NARRATOR,几个泼皮地痞围住了{A}的摊位。,
E601_INTRO,SELF,大爷...小的只是做点小生意糊口...,
E601_INTRO,地痞头目,少废话！这条街都是我们罩着的！,
E601_INTRO,地痞头目,今天要是不交保护费，就别想在这儿做生意！,
E601_INTRO,SELF,可是...我真的拿不出那么多钱啊...,
E601_INTRO,NARRATOR,围观的人群窃窃私语，但没人敢出头。,
E601_INTRO,NARRATOR,你会怎么做？,SHOW_CHOICE
E601_A,PLAYER,住手！这钱我替他出了！,
E601_A,地痞头目,哟，哪来的冤大头？,
E601_A,PLAYER,拿着钱，别为难他了。,PLAYER:Money:-100
E601_A,地痞头目,嘿嘿，识相！,
E601_A,SELF,恩公大恩，小人没齿难忘！,SELF:emotion:HAPPY
E601_A,NARRATOR,周围的人对你的善举议论纷纷。,PLAYER:Fame:20
E601_B,PLAYER,欺负老实人算什么本事？,
E601_B,PLAYER,兄弟们，教训一下这些不长眼的！,
E601_B,NARRATOR,你的打手上前，三下五除二将地痞打趴下。,NPC_ATTACK_THUGS
E601_B,地痞头目,好汉饶命！我们有眼不识泰山！,
E601_B,SELF,多谢大人相救！,SELF:emotion:HAPPY
E601_B,NARRATOR,你的威名传开了。,PLAYER:Fame:150
E601_C,PLAYER,光天化日，竟敢如此放肆！,
E601_C,地痞头目,又来一个找死的？,
E601_C,NARRATOR,你一脚将地痞踹倒，其他人见状落荒而逃。,PLAYER_KICK_THUG
E601_C,SELF,多谢壮士！,
E601_C,NARRATOR,但周围有人认出你是那个臭名昭著的恶霸...,PLAYER:AddTag:THUG
E602_INTRO,NARRATOR,一名税务官带着随从来到{A}的店铺。,
E602_INTRO,税务官,例行检查，把账本拿来！,
E602_INTRO,SELF,大人，这是小店的账本...,
E602_INTRO,税务官,嗯...这笔账有问题！,
E602_INTRO,SELF,大人明鉴，小的绝无虚报！,
E602_INTRO,税务官,哼，到底有没有问题，还得看你的诚意。,
E602_INTRO,NARRATOR,税务官摆明了是想要好处。你会如何应对？,SHOW_CHOICE
E602_A,PLAYER,大人辛苦，这是一点心意。,PLAYER:Money:-200
E602_A,税务官,嗯，算你识相。账目没问题，走了。,
E602_A,SELF,多谢大人通融...,SELF:safety:NORMAL
E602_B,PLAYER,大人请看，这账目确实没有问题。,
E602_B,NARRATOR,你让文人帮忙据理力争，税务官无言以对。,
E602_B,税务官,哼，算你们走运！,
E602_B,SELF,多谢恩公主持公道！,PLAYER:Fame:150
E101_INTRO,NARRATOR,钱庄门口围满了人，一个衣衫褴褛的男子正在哭喊。,
E101_INTRO,SELF,我存了十年的积蓄啊！全在这旧交子上！,
E101_INTRO,OTHER,（冷笑）谁让你不早来换？过期作废，概不负责。,
E101_INTRO,SELF,你们这是吃人啊！我不活了！,
E101_INTRO,NARRATOR,{A}挣脱人群，朝河边跑去。你恰好路过...,SHOW_CHOICE
E101_A,PLAYER,（拦住他）别冲动！我来帮你换！,
E101_A,NARRATOR,你掏出银两，按原价兑换了他的旧交子。,PLAYER:Money:-200
E101_A,SELF,（跪地叩首）恩公大德，小人来世做牛做马报答您！,SELF:emotion:GRATEFUL
E101_A,NARRATOR,围观群众对你的善举交口称赞。,PLAYER:Fame:100
E101_B,PLAYER,（低声）这些旧交子，我可以收...不过只能按三成价。,
E101_B,SELF,三成？可是...,
E101_B,PLAYER,三成或者一文不值，你选。,
E101_B,NARRATOR,{A}含泪将交子交给你。你转手便高价出售给了急需的商人...,PLAYER:Money:300
E101_B,NARRATOR,有人在背后指指点点：「趁火打劫的奸商！」,PLAYER:Fame:-150;PLAYER:AddTag:PROFITEER
E101_C,PLAYER,（指着钱庄老板）你们这是黑店！,
E101_C,OTHER,你算什么东西，敢管老子的事？,
E101_C,PLAYER,我是什么东西不重要，重要的是你这黑心钱庄，我记住了。,
E101_C,NARRATOR,你替{A}出头，虽然钱没讨回来，但钱庄老板记下了你。,OTHER:affinity:PLAYER:-80;PLAYER:Fame:80
E102_INTRO,NARRATOR,医馆门口，一个面色蜡黄的书生被人搀扶着走出。,
E102_INTRO,SELF,（剧烈咳嗽）只差最后三百两...只差三百两我就能买到房了...,
E102_INTRO,NARRATOR,他是{A}，连续三年打三份工，就为在汴京买套房。,
E102_INTRO,SELF,（看到你）恩公！求您借我这笔钱！凑齐首付我就解脱了！,
E102_INTRO,NARRATOR,郎中在一旁摇头：「再不休养，怕是活不过今年...」,SHOW_CHOICE
E102_A,PLAYER,（叹气）拿去吧...,PLAYER:Money:-800
E102_A,SELF,（狂喜）太好了！我终于能买房了！,SELF:emotion:HAPPY
E102_A,NARRATOR,他拿着钱，踉跄着往牙行跑去。你看着他的背影，不知该喜该忧。,
E102_A,NARRATOR,三个月后，{A}在新房中咳血而亡...,SELF:hp:50
E102_B,PLAYER,（握住他的手）别买了。房子买了，人没了，有什么意义？,
E102_B,SELF,（眼神涣散）不买房...活着有什么意义...,
E102_B,NARRATOR,{A}失魂落魄地离去。此后再无买房的执念，却也失去了活下去的动力。,SELF:emotion:DESPAIR;SELF:tags:LAY_FLAT
E102_C,PLAYER,先把身体养好！我出钱给你治病。,PLAYER:Money:-300
E102_C,SELF,可是...我的房子...,
E102_C,PLAYER,命都没了，要房子何用？,
E102_C,NARRATOR,你强行将他送进医馆。{A}康复后，对你又感激又怨恨...,SELF:hp:80;SELF:emotion:SAD
E103_INTRO,NARRATOR,甜水巷的花楼里传来争吵声。,
E103_INTRO,SELF,这条巷子是我们的地盘！容不下你这种贱货！,
E103_INTRO,OTHER,（冷笑）姐姐年老色衰，怕被抢了饭碗？,
E103_INTRO,NARRATOR,新来的舞姬{A}才艺出众、价格低廉，威胁到了老牌花魁{B}的生意。,
E103_INTRO,OTHER,行会已经决定了，今晚就把你赶出去！,
E103_INTRO,NARRATOR,两人都看向你，似乎在等你表态...,SHOW_CHOICE
E103_A,PLAYER,（站到{A}身前）欺负一个新来的姑娘算什么本事？,PLAYER:Money:-150
E103_A,OTHER,你...你要管这闲事？,
E103_A,PLAYER,甜水巷的规矩，轮不到你来定。,
E103_A,NARRATOR,你花钱摆平了行会，{A}得以留下。但{B}记住了这个仇...,SELF:affinity:PLAYER:60;OTHER:affinity:PLAYER:-80
E103_B,PLAYER,（对{A}摇头）这条巷子...不适合你。,
E103_B,SELF,（绝望）您...您也要赶我走？,
E103_B,NARRATOR,在你的默许下，{A}被赶出了甜水巷。,SELF:safety:EXILE;SELF:emotion:DESPAIR
E103_B,OTHER,（得意）多谢您仗义执言！,OTHER:affinity:PLAYER:50;PLAYER:Money:200
